Country,Date,Total Number
South Korea,6/8/2020,11852
South Korea,6/9/2020,11902
South Korea,6/10/2020,11947
South Korea,6/11/2020,12003
South Korea,6/12/2020,12051
South Korea,6/13/2020,12085
South Korea,6/14/2020,12121
South Korea,6/15/2020,12155
South Korea,6/16/2020,12198
South Korea,6/17/2020,12257
South Korea,6/18/2020,12306
South Korea,6/19/2020,12373
South Korea,6/20/2020,12421
South Korea,6/21/2020,12438
South Korea,6/22/2020,12484
South Korea,6/23/2020,12535
South Korea,6/24/2020,12563
South Korea,6/25/2020,12602
South Korea,6/26/2020,12653
South Korea,6/27/2020,12715
South Korea,6/28/2020,12757
South Korea,6/29/2020,12800
South Korea,6/30/2020,12850
South Korea,7/1/2020,12904
South Korea,7/2/2020,12967
South Korea,7/3/2020,13030
South Korea,7/4/2020,13091
South Korea,7/5/2020,13137
South Korea,7/6/2020,13181
South Korea,7/7/2020,13244
South Korea,7/8/2020,13293
South Korea,7/9/2020,13338
South Korea,7/10/2020,13373
South Korea,7/11/2020,13417
South Korea,7/12/2020,13479
South Korea,7/13/2020,13512
South Korea,7/14/2020,13551
South Korea,7/15/2020,13612
South Korea,7/16/2020,13672
South Korea,7/17/2020,13711
South Korea,7/18/2020,13745
South Korea,7/19/2020,13771
South Korea,7/20/2020,13816
South Korea,7/21/2020,13879
South Korea,7/22/2020,13938
South Korea,7/23/2020,13979
South Korea,7/24/2020,14092
South Korea,7/25/2020,14150
South Korea,7/26/2020,14175
South Korea,7/27/2020,14203
South Korea,7/28/2020,14251
South Korea,7/29/2020,14269
South Korea,7/30/2020,14305
South Korea,7/31/2020,14336
South Korea,8/1/2020,14366
South Korea,8/2/2020,14389
South Korea,8/3/2020,14423
South Korea,8/4/2020,14456
South Korea,8/5/2020,14499
South Korea,8/6/2020,14519
South Korea,8/7/2020,14562
South Korea,8/8/2020,14598
South Korea,8/9/2020,14626
South Korea,8/10/2020,14660
South Korea,8/11/2020,14714
South Korea,8/12/2020,14770
South Korea,8/13/2020,14873
South Korea,8/14/2020,15039
South Korea,8/15/2020,15318
South Korea,8/16/2020,15515
South Korea,8/17/2020,15761
South Korea,8/18/2020,16058
South Korea,8/19/2020,16346
South Korea,8/20/2020,16670
South Korea,8/21/2020,17002
South Korea,8/22/2020,17399
South Korea,8/23/2020,17665
South Korea,8/24/2020,17945
South Korea,8/25/2020,18265
South Korea,8/26/2020,18706
South Korea,8/27/2020,19077
South Korea,8/28/2020,19400
South Korea,8/29/2020,19699
South Korea,8/30/2020,19947
South Korea,8/31/2020,20182
South Korea,9/1/2020,20449
South Korea,9/2/2020,20644
South Korea,9/3/2020,20842
South Korea,9/4/2020,21010
South Korea,9/5/2020,21177
South Korea,9/6/2020,21296
South Korea,9/7/2020,21432
South Korea,9/8/2020,21588
South Korea,9/9/2020,21743
South Korea,9/10/2020,21919
South Korea,9/11/2020,22055
South Korea,9/12/2020,22176
South Korea,9/13/2020,22285
South Korea,9/14/2020,22391
South Korea,9/15/2020,22504
South Korea,9/16/2020,22657
South Korea,9/17/2020,22783
South Korea,9/18/2020,22893
South Korea,9/19/2020,22975
South Korea,9/20/2020,23045
South Korea,9/21/2020,23106
South Korea,9/22/2020,23216
South Korea,9/23/2020,23341
South Korea,9/24/2020,23455
South Korea,9/25/2020,23516
South Korea,9/26/2020,23611
South Korea,9/27/2020,23661
South Korea,9/28/2020,23699
South Korea,9/29/2020,23812
South Korea,9/30/2020,23889
South Korea,10/1/2020,23952
South Korea,10/2/2020,24027
South Korea,10/3/2020,24091
South Korea,10/4/2020,24164
South Korea,10/5/2020,24239
South Korea,10/6/2020,24353
South Korea,10/7/2020,24422
South Korea,10/8/2020,24476
South Korea,10/9/2020,24548
South Korea,10/10/2020,24606
South Korea,10/11/2020,24703
South Korea,10/12/2020,24805
South Korea,10/13/2020,24889
South Korea,10/14/2020,24988
South Korea,10/15/2020,25035
South Korea,10/16/2020,25108
South Korea,10/17/2020,25199
South Korea,10/18/2020,25275
South Korea,10/19/2020,25333
South Korea,10/20/2020,25424
South Korea,10/21/2020,25543
South Korea,10/22/2020,25698
South Korea,10/23/2020,25775
South Korea,10/24/2020,25836
South Korea,10/25/2020,25955
South Korea,10/26/2020,26043
South Korea,10/27/2020,26146
South Korea,10/28/2020,26271
South Korea,10/29/2020,26385
South Korea,10/30/2020,26511
South Korea,10/31/2020,26635
South Korea,11/1/2020,26732
South Korea,11/2/2020,26807
South Korea,11/3/2020,26925
South Korea,11/4/2020,27050
South Korea,11/5/2020,27195
South Korea,11/6/2020,27284
South Korea,11/7/2020,27427
South Korea,11/8/2020,27553
South Korea,11/9/2020,27653
South Korea,11/10/2020,27799
South Korea,11/11/2020,27942
South Korea,11/12/2020,28133
South Korea,11/13/2020,28338
South Korea,11/14/2020,28546
South Korea,11/15/2020,28769
South Korea,11/16/2020,28998
South Korea,11/17/2020,29311
South Korea,11/18/2020,29654
South Korea,11/19/2020,30017
South Korea,11/20/2020,30403
South Korea,11/21/2020,30733
South Korea,11/22/2020,31004
South Korea,11/23/2020,31353
South Korea,11/24/2020,31735
South Korea,11/25/2020,32318
South Korea,11/26/2020,32887
South Korea,11/27/2020,33375
South Korea,11/28/2020,33824
South Korea,11/29/2020,34201
South Korea,11/30/2020,34652
South Korea,12/1/2020,35163
South Korea,12/2/2020,35703
South Korea,12/3/2020,36332
South Korea,12/4/2020,36915
South Korea,12/5/2020,37546
South Korea,12/6/2020,38161
South Korea,12/7/2020,38755
South Korea,12/8/2020,39432
South Korea,12/9/2020,40098
South Korea,12/10/2020,40786
South Korea,12/11/2020,41736
South Korea,12/12/2020,42766
South Korea,12/13/2020,43484
South Korea,12/14/2020,44364
South Korea,12/15/2020,45442
South Korea,12/16/2020,46453
South Korea,12/17/2020,47515
South Korea,12/18/2020,48570
South Korea,12/19/2020,49665
South Korea,12/20/2020,50591
South Korea,12/21/2020,51460
South Korea,12/22/2020,52550
South Korea,12/23/2020,53533
South Korea,12/24/2020,54770
South Korea,12/25/2020,55902
South Korea,12/26/2020,56872
South Korea,12/27/2020,57680
South Korea,12/28/2020,58725
South Korea,12/29/2020,59773
South Korea,12/30/2020,60740
South Korea,12/31/2020,61769
South Korea,1/1/2021,62593
South Korea,1/2/2021,63244
South Korea,1/3/2021,64264
South Korea,1/4/2021,64979
South Korea,1/5/2021,65818
South Korea,1/6/2021,66686
South Korea,1/7/2021,67358
South Korea,1/8/2021,67999
South Korea,1/9/2021,68664
South Korea,1/10/2021,69114
South Korea,1/11/2021,69651
South Korea,1/12/2021,70212
South Korea,1/13/2021,70728
South Korea,1/14/2021,71241
South Korea,1/15/2021,71820
South Korea,1/16/2021,72340
South Korea,1/17/2021,72729
South Korea,1/18/2021,73115
South Korea,1/19/2021,73518
South Korea,1/20/2021,73918
South Korea,1/21/2021,74262
South Korea,1/22/2021,74692
South Korea,1/23/2021,75084
South Korea,1/24/2021,75521
South Korea,1/25/2021,75875
South Korea,1/26/2021,76429
South Korea,1/27/2021,76926
South Korea,1/28/2021,77395
South Korea,1/29/2021,77850
South Korea,1/30/2021,78205
South Korea,1/31/2021,78508
South Korea,2/1/2021,78844
South Korea,2/2/2021,79311
South Korea,2/3/2021,79762
South Korea,2/4/2021,80131
South Korea,2/5/2021,80524
South Korea,2/6/2021,80896
South Korea,2/7/2021,81185
South Korea,2/8/2021,81487
South Korea,2/9/2021,81930
South Korea,2/10/2021,82434
South Korea,2/11/2021,82837
South Korea,2/12/2021,83199
South Korea,2/13/2021,83525
South Korea,2/14/2021,83869
South Korea,2/15/2021,84325
South Korea,2/16/2021,84946
South Korea,2/17/2021,85567
South Korea,2/18/2021,86128
South Korea,2/19/2021,86574
South Korea,2/20/2021,86992
South Korea,2/21/2021,87324
South Korea,2/22/2021,87681
South Korea,2/23/2021,88120
South Korea,2/24/2021,88516
South Korea,2/25/2021,88922
South Korea,2/26/2021,89321
South Korea,2/27/2021,89676
South Korea,2/28/2021,90031
South Korea,3/1/2021,90372
South Korea,3/2/2021,90816
South Korea,3/3/2021,91240
South Korea,3/4/2021,91638
South Korea,3/5/2021,92055
South Korea,3/6/2021,92471
South Korea,3/7/2021,92817
South Korea,3/8/2021,93263
South Korea,3/9/2021,93733
South Korea,3/10/2021,94198
South Korea,3/11/2021,94686
South Korea,3/12/2021,95176
South Korea,3/13/2021,95635
South Korea,3/14/2021,96017
South Korea,3/15/2021,96380
South Korea,3/16/2021,96849
South Korea,3/17/2021,97294
South Korea,3/18/2021,97757
South Korea,3/19/2021,98209
South Korea,3/20/2021,98665
South Korea,3/21/2021,99075
South Korea,3/22/2021,99421
South Korea,3/23/2021,99846
South Korea,3/24/2021,100276
South Korea,3/25/2021,100770
South Korea,3/26/2021,101275
South Korea,3/27/2021,101757
South Korea,3/28/2021,102141
South Korea,3/29/2021,102582
South Korea,3/30/2021,103088
South Korea,3/31/2021,103639
South Korea,4/1/2021,104194
South Korea,4/2/2021,104736
South Korea,4/3/2021,105279
South Korea,4/4/2021,105752
South Korea,4/5/2021,106230
South Korea,4/6/2021,106898
South Korea,4/7/2021,107598
South Korea,4/8/2021,108269
South Korea,4/9/2021,108945
South Korea,4/10/2021,109559
South Korea,4/11/2021,110146
South Korea,4/12/2021,110688
South Korea,4/13/2021,111419
South Korea,4/14/2021,112117
South Korea,4/15/2021,112789
South Korea,4/16/2021,113444
South Korea,4/17/2021,114115
South Korea,4/18/2021,114646
South Korea,4/19/2021,115195
South Korea,4/20/2021,115926
South Korea,4/21/2021,116661
South Korea,4/22/2021,117458
South Korea,4/23/2021,118243
South Korea,4/24/2021,118887
South Korea,4/25/2021,119387
South Korea,4/26/2021,119898
South Korea,4/27/2021,120673
South Korea,4/28/2021,121351
South Korea,4/29/2021,122007
South Korea,4/30/2021,122634
South Korea,5/1/2021,123240
South Korea,5/2/2021,123728
South Korea,5/3/2021,124269
South Korea,5/4/2021,124945
South Korea,5/5/2021,125519
South Korea,5/6/2021,126044
South Korea,5/7/2021,126745
South Korea,5/8/2021,127309
South Korea,5/9/2021,127772
South Korea,5/10/2021,128283
South Korea,5/11/2021,128918
South Korea,5/12/2021,129633
South Korea,5/13/2021,130380
South Korea,5/14/2021,131061
South Korea,5/15/2021,131671
South Korea,5/16/2021,132290
South Korea,5/17/2021,132818
South Korea,5/18/2021,133471
South Korea,5/19/2021,134117
South Korea,5/20/2021,134678
South Korea,5/21/2021,135344
South Korea,5/22/2021,135929
South Korea,5/23/2021,136467
South Korea,5/24/2021,136983
South Korea,5/25/2021,137682
South Korea,5/26/2021,138311
South Korea,5/27/2021,138898
South Korea,5/28/2021,139431
South Korea,5/29/2021,139910
South Korea,5/30/2021,140340
South Korea,5/31/2021,140799
South Korea,6/1/2021,141476
South Korea,6/2/2021,142157
South Korea,6/3/2021,142852
South Korea,6/4/2021,143596
South Korea,6/5/2021,144152
South Korea,6/6/2021,144637
South Korea,6/7/2021,145091
South Korea,6/8/2021,145692
South Korea,6/9/2021,146303
South Korea,6/10/2021,146859
South Korea,6/11/2021,147422
South Korea,6/12/2021,147874
South Korea,6/13/2021,148273
South Korea,6/14/2021,148647
South Korea,6/15/2021,149191
South Korea,6/16/2021,149731
South Korea,6/17/2021,150238
South Korea,6/18/2021,150720
South Korea,6/19/2021,151149
South Korea,6/20/2021,151506
South Korea,6/21/2021,151901
South Korea,6/22/2021,152545
South Korea,6/23/2021,153155
South Korea,6/24/2021,153789
South Korea,6/25/2021,154457
South Korea,6/26/2021,155071
South Korea,6/27/2021,155572
South Korea,6/28/2021,156167
South Korea,6/29/2021,156961
South Korea,6/30/2021,157723
South Korea,7/1/2021,158549
South Korea,7/2/2021,159342
South Korea,7/3/2021,160084
South Korea,7/4/2021,160795
South Korea,7/5/2021,161541
South Korea,7/6/2021,162753
South Korea,7/7/2021,164028
South Korea,7/8/2021,165344
South Korea,7/9/2021,166722
South Korea,7/10/2021,168046
South Korea,7/11/2021,169146
South Korea,7/12/2021,170296
South Korea,7/13/2021,171911
South Korea,7/14/2021,173511
South Korea,7/15/2021,175046
South Korea,7/16/2021,176500
South Korea,7/17/2021,177951
South Korea,7/18/2021,179203
South Korea,7/19/2021,180481
South Korea,7/20/2021,182265
South Korea,7/21/2021,184103
South Korea,7/22/2021,185733
South Korea,7/23/2021,187362
South Korea,7/24/2021,188848
South Korea,7/25/2021,190166
South Korea,7/26/2021,191531
South Korea,7/27/2021,193427
South Korea,7/28/2021,195099
South Korea,7/29/2021,196806
South Korea,7/30/2021,198345
South Korea,7/31/2021,199787
South Korea,8/1/2021,201002
South Korea,8/2/2021,202203
South Korea,8/3/2021,203926
South Korea,8/4/2021,205702
South Korea,8/5/2021,207406
South Korea,8/6/2021,209228
South Korea,8/7/2021,210956
South Korea,8/8/2021,212448
South Korea,8/9/2021,213987
South Korea,8/10/2021,216206
South Korea,8/11/2021,218192
South Korea,8/12/2021,220182
South Korea,8/13/2021,222111
South Korea,8/14/2021,223928
South Korea,8/15/2021,225481
South Korea,8/16/2021,226854
South Korea,8/17/2021,228657
South Korea,8/18/2021,230808
South Korea,8/19/2021,232859
South Korea,8/20/2021,234739
South Korea,8/21/2021,236366
South Korea,8/22/2021,237782
South Korea,8/23/2021,239287
South Korea,8/24/2021,241439
South Korea,8/25/2021,243317
South Korea,8/26/2021,245158
South Korea,8/27/2021,246951
South Korea,8/28/2021,248568
South Korea,8/29/2021,250051
South Korea,8/30/2021,251421
South Korea,8/31/2021,253445
South Korea,9/1/2021,255401
South Korea,9/2/2021,257110
South Korea,9/3/2021,258913
South Korea,9/4/2021,260404
South Korea,9/5/2021,261778
South Korea,9/6/2021,263374
South Korea,9/7/2021,265423
South Korea,9/8/2021,267470
South Korea,9/9/2021,269362
South Korea,9/10/2021,271227
South Korea,9/11/2021,272982
South Korea,9/12/2021,274415
South Korea,9/13/2021,275910
South Korea,9/14/2021,277989
South Korea,9/15/2021,279930
South Korea,9/16/2021,281938
South Korea,9/17/2021,284022
South Korea,9/18/2021,285931
South Korea,9/19/2021,287536
South Korea,9/20/2021,289263
South Korea,9/21/2021,290983
South Korea,9/22/2021,292699
South Korea,9/23/2021,295132
South Korea,9/24/2021,298402
South Korea,9/25/2021,301172
South Korea,9/26/2021,303553
South Korea,9/27/2021,305842
South Korea,9/28/2021,308725
South Korea,9/29/2021,311289
South Korea,9/30/2021,313773
South Korea,10/1/2021,316020
